position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s    I_peak    I_d2_qwf     
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)             (W/cm^2)  (W/cm^2)     
5.200000000e+00       -4.443138259e+01            -2.796749578e+00                4.704794393e+01                1.042995741e+00                      -1.801882456e-01                    -4.618513643e+01                1.215852500e+15     1.216603150e+15        
5.250000000e+00       -4.480552694e+01            -2.823385288e+00                4.741311076e+01                1.053824991e+00                      -2.158014667e-01                    -4.657508724e+01                1.211210185e+15     1.211900600e+15        
5.300000000e+00       -4.517824299e+01            -2.850020998e+00                4.777682852e+01                1.064670112e+00                      -2.514354751e-01                    -4.696359388e+01                1.206589638e+15     1.207216100e+15        
5.350000000e+00       -4.554952171e+01            -2.876656709e+00                4.813910410e+01                1.075531120e+00                      -2.870743142e-01                    -4.735064730e+01                1.201990785e+15     1.202549583e+15        
5.400000000e+00       -4.591935424e+01            -2.903292419e+00                4.849994441e+01                1.086408031e+00                      -3.227022497e-01                    -4.773623863e+01                1.197413550e+15     1.197900986e+15        
5.450000000e+00       -4.628773192e+01            -2.929928129e+00                4.885935627e+01                1.097300861e+00                      -3.583037759e-01                    -4.812035918e+01                1.192857855e+15     1.193270242e+15        
5.500000000e+00       -4.665464627e+01            -2.956563840e+00                4.921734648e+01                1.108209624e+00                      -3.938636225e-01                    -4.850300048e+01                1.188323617e+15     1.188657288e+15        
5.550000000e+00       -4.702008900e+01            -2.983199550e+00                4.957392179e+01                1.119134337e+00                      -4.293667610e-01                    -4.888415422e+01                1.183810750e+15     1.184062058e+15        
5.600000000e+00       -4.738405203e+01            -3.009835260e+00                4.992908888e+01                1.130075015e+00                      -4.647984105e-01                    -4.926381227e+01                1.179319169e+15     1.179484488e+15        
5.650000000e+00       -4.774652743e+01            -3.036470970e+00                5.028285436e+01                1.141031675e+00                      -5.001440448e-01                    -4.964196673e+01                1.174848782e+15     1.174924515e+15        
5.700000000e+00       -4.810750749e+01            -3.063106681e+00                5.063522477e+01                1.152004330e+00                      -5.353893975e-01                    -5.001860984e+01                1.170399497e+15     1.170382074e+15        
5.750000000e+00       -4.846698466e+01            -3.089742391e+00                5.098620658e+01                1.162992997e+00                      -5.705204690e-01                    -5.039373406e+01                1.165971218e+15     1.165857102e+15        
5.800000000e+00       -4.882495161e+01            -3.116378101e+00                5.133580618e+01                1.173997691e+00                      -6.055235315e-01                    -5.076733202e+01                1.161563848e+15     1.161349535e+15        
5.850000000e+00       -4.918140117e+01            -3.143013811e+00                5.168402985e+01                1.185018427e+00                      -6.403851350e-01                    -5.113939656e+01                1.157177288e+15     1.156859311e+15        
5.900000000e+00       -4.953632638e+01            -3.169649522e+00                5.203088379e+01                1.196055220e+00                      -6.750921132e-01                    -5.150992068e+01                1.152811434e+15     1.152386366e+15        
5.950000000e+00       -4.988972045e+01            -3.196285232e+00                5.237637409e+01                1.207108085e+00                      -7.096315881e-01                    -5.187889759e+01                1.148466184e+15     1.147930637e+15        
6.000000000e+00       -5.024157678e+01            -3.222920942e+00                5.272050675e+01                1.218177038e+00                      -7.439909759e-01                    -5.224632069e+01                1.144141432e+15     1.143492063e+15        
6.050000000e+00       -5.059188898e+01            -3.249556652e+00                5.306328764e+01                1.229262093e+00                      -7.781579918e-01                    -5.261218354e+01                1.139837068e+15     1.139070580e+15        
6.100000000e+00       -5.094065081e+01            -3.276192363e+00                5.340472252e+01                1.240363265e+00                      -8.121206549e-01                    -5.297647991e+01                1.135552985e+15     1.134666127e+15        
6.150000000e+00       -5.128785627e+01            -3.302828073e+00                5.374481705e+01                1.251480569e+00                      -8.458672925e-01                    -5.333920377e+01                1.131289071e+15     1.130278642e+15        
6.200000000e+00       -5.163349949e+01            -3.329463783e+00                5.408357673e+01                1.262614020e+00                      -8.793865454e-01                    -5.370034925e+01                1.127045213e+15     1.125908064e+15        
6.250000000e+00       -5.197757483e+01            -3.356099494e+00                5.442100695e+01                1.273763633e+00                      -9.126673712e-01                    -5.405991069e+01                1.122821297e+15     1.121554330e+15        
6.300000000e+00       -5.232007682e+01            -3.382735204e+00                5.475711297e+01                1.284929422e+00                      -9.456990492e-01                    -5.441788260e+01                1.118617208e+15     1.117217379e+15        
6.350000000e+00       -5.266100019e+01            -3.409370914e+00                5.509189992e+01                1.296111402e+00                      -9.784711839e-01                    -5.477425970e+01                1.114432828e+15     1.112897152e+15        
6.400000000e+00       -5.300033984e+01            -3.436006624e+00                5.542537275e+01                1.307309587e+00                      -1.010973708e+00                    -5.512903687e+01                1.110268041e+15     1.108593585e+15        
6.450000000e+00       -5.333809087e+01            -3.462642335e+00                5.575753632e+01                1.318523992e+00                      -1.043196889e+00                    -5.548220921e+01                1.106122726e+15     1.104306621e+15        
6.500000000e+00       -5.367424858e+01            -3.489278045e+00                5.608839529e+01                1.329754631e+00                      -1.075131326e+00                    -5.583377199e+01                1.101996764e+15     1.100036196e+15        
6.550000000e+00       -5.400880842e+01            -3.515913755e+00                5.641795422e+01                1.341001519e+00                      -1.106767961e+00                    -5.618372066e+01                1.097890035e+15     1.095782253e+15        
6.600000000e+00       -5.434176608e+01            -3.542549465e+00                5.674621747e+01                1.352264670e+00                      -1.138098074e+00                    -5.653205088e+01                1.093802417e+15     1.091544730e+15        
6.650000000e+00       -5.467311740e+01            -3.569185176e+00                5.707318928e+01                1.363544098e+00                      -1.169113293e+00                    -5.687875848e+01                1.089733787e+15     1.087323568e+15        
6.700000000e+00       -5.500285841e+01            -3.595820886e+00                5.739887371e+01                1.374839817e+00                      -1.199805587e+00                    -5.722383948e+01                1.085684023e+15     1.083118708e+15        
6.750000000e+00       -5.533098535e+01            -3.622456596e+00                5.772327467e+01                1.386151842e+00                      -1.230167280e+00                    -5.756729011e+01                1.081653002e+15     1.078930089e+15        
